,Year,Month,ADT
0,1993,1,-0.015758097
1,1993,2,-0.0031516552
2,1993,3,0.018360972
3,1993,4,0.025972068
4,1993,5,0.02090615
5,1993,6,0.020585
6,1993,7,0.022493422
7,1993,8,0.020595133
8,1993,9,-0.00016480684
9,1993,10,0.0043587685
10,1993,11,-0.00030624866
11,1993,12,0.0078055263
12,1994,1,0.0062620044
13,1994,2,-0.0008711815
14,1994,3,0.0020409226
15,1994,4,0.0013152957
16,1994,5,-0.001827538
17,1994,6,0.0005712509
18,1994,7,-0.0015356541
19,1994,8,0.0005488992
20,1994,9,0.006913841
21,1994,10,0.0005161166
22,1994,11,-0.019078434
23,1994,12,-0.024601996
24,1995,1,-0.008408785
25,1995,2,0.0030270815
26,1995,3,-0.005659163
27,1995,4,-0.009569943
28,1995,5,-0.011084259
29,1995,6,-0.0056503415
30,1995,7,-0.018078744
31,1995,8,-0.02236867
32,1995,9,-0.005178869
33,1995,10,-0.006558895
34,1995,11,-0.005931139
35,1995,12,-0.01326704
36,1996,1,-0.016027927
37,1996,2,-0.008127689
38,1996,3,-0.01764667
39,1996,4,-0.0028584003
40,1996,5,0.0018705726
41,1996,6,-0.004290879
42,1996,7,-0.010348141
43,1996,8,-0.009862721
44,1996,9,-0.00463289
45,1996,10,-0.005264282
46,1996,11,-0.025252998
47,1996,12,-0.023625672
48,1997,1,-0.013467848
49,1997,2,-0.0054525733
50,1997,3,-0.014964521
51,1997,4,-0.008247793
52,1997,5,0.012995005
53,1997,6,0.013017356
54,1997,7,0.012325764
55,1997,8,0.018918335
56,1997,9,0.040343046
57,1997,10,0.039448738
58,1997,11,0.02313435
59,1997,12,0.024906337
60,1998,1,0.03162706
61,1998,2,0.037019312
62,1998,3,0.031635225
63,1998,4,0.02545607
64,1998,5,0.024240375
65,1998,6,0.016558409
66,1998,7,0.015258014
67,1998,8,0.01680547
68,1998,9,0.00859797
69,1998,10,0.0038934946
70,1998,11,-0.00562042
71,1998,12,-0.0193457
72,1999,1,-0.025213301
73,1999,2,-0.03609371
74,1999,3,-0.034289926
75,1999,4,-0.04055807
76,1999,5,-0.050068557
77,1999,6,-0.04900211
78,1999,7,-0.053465664
79,1999,8,-0.05179733
80,1999,9,-0.053960443
81,1999,10,-0.04970169
82,1999,11,-0.042185068
83,1999,12,-0.034637332
84,2000,1,-0.04591468
85,2000,2,-0.043065816
86,2000,3,-0.03217119
87,2000,4,-0.0352948
88,2000,5,-0.038179755
89,2000,6,-0.033077538
90,2000,7,-0.026581049
91,2000,8,-0.023957372
92,2000,9,-0.02231574
93,2000,10,-0.027307928
94,2000,11,-0.03547281
95,2000,12,-0.035901606
96,2001,1,-0.03653574
97,2001,2,-0.05325374
98,2001,3,-0.047015846
99,2001,4,-0.051021934
100,2001,5,-0.039893806
101,2001,6,-0.037757963
102,2001,7,-0.031472802
103,2001,8,-0.032323062
104,2001,9,-0.028376222
105,2001,10,-0.032502055
106,2001,11,-0.020633996
107,2001,12,-0.024409056
108,2002,1,-0.02239728
109,2002,2,-0.017741024
110,2002,3,-0.022385359
111,2002,4,-0.023752093
112,2002,5,-0.011023164
113,2002,6,-0.010776401
114,2002,7,-0.0030312538
115,2002,8,-0.0058351755
116,2002,9,-0.012936771
117,2002,10,-0.014355421
118,2002,11,0.015911102
119,2002,12,0.009897649
120,2003,1,0.016744077
121,2003,2,0.01774007
122,2003,3,0.010674596
123,2003,4,0.0054174066
124,2003,5,0.0060656667
125,2003,6,0.010346413
126,2003,7,0.013055205
127,2003,8,0.0145744085
128,2003,9,0.010744035
129,2003,10,0.017294586
130,2003,11,0.005186081
131,2003,12,0.0060384274
132,2004,1,0.011171579
133,2004,2,0.017271936
134,2004,3,0.015040398
135,2004,4,0.017895281
136,2004,5,0.02590096
137,2004,6,0.018211603
138,2004,7,0.0089921355
139,2004,8,0.013391376
140,2004,9,0.0064448714
141,2004,10,0.0022836924
142,2004,11,-0.010341644
143,2004,12,-0.009607971
144,2005,1,-0.012335122
145,2005,2,0.0009751916
146,2005,3,0.0034790635
147,2005,4,0.0047001243
148,2005,5,0.0046010017
149,2005,6,0.0033082962
150,2005,7,0.0044521093
151,2005,8,0.0048540235
152,2005,9,-9.816885e-05
153,2005,10,-0.0016172528
154,2005,11,0.0008723736
155,2005,12,0.009872735
156,2006,1,0.009562194
157,2006,2,0.00011128187
158,2006,3,-0.017030537
159,2006,4,-0.017270625
160,2006,5,-0.020863771
161,2006,6,-0.014708281
162,2006,7,-0.0021588206
163,2006,8,-0.010674
164,2006,9,-0.0154108405
165,2006,10,-0.019970834
166,2006,11,-0.009952247
167,2006,12,-0.00055241585
168,2007,1,-0.0052706003
169,2007,2,-0.011552155
170,2007,3,-0.011309147
171,2007,4,-0.007474959
172,2007,5,-0.006232202
173,2007,6,-0.013279021
174,2007,7,-0.0053171515
175,2007,8,-0.013046682
176,2007,9,-0.015963554
177,2007,10,-0.02857238
178,2007,11,-0.018132746
179,2007,12,-0.02295047
180,2008,1,-0.027756989
181,2008,2,-0.030876577
182,2008,3,-0.027601868
183,2008,4,-0.027492046
184,2008,5,-0.025629073
185,2008,6,-0.027083457
186,2008,7,-0.020863652
187,2008,8,-0.016683161
188,2008,9,-0.026342273
189,2008,10,-0.019723117
190,2008,11,-0.007814288
191,2008,12,-0.010420144
192,2009,1,-0.021645188
193,2009,2,-0.02727592
194,2009,3,-0.016935945
195,2009,4,-0.014661431
196,2009,5,-0.013686538
197,2009,6,-0.009980381
198,2009,7,-0.006925881
199,2009,8,-0.0025165677
200,2009,9,0.0022479296
201,2009,10,-0.002763033
202,2009,11,0.002229154
203,2009,12,0.006458342
204,2010,1,0.009392321
205,2010,2,0.018750608
206,2010,3,0.017518401
207,2010,4,0.018650949
208,2010,5,0.00576216
209,2010,6,0.0024469495
210,2010,7,0.0004208088
211,2010,8,-0.013243079
212,2010,9,-0.020583332
213,2010,10,-0.00713861
214,2010,11,-0.009592593
215,2010,12,-0.019564807
216,2011,1,-0.017268777
217,2011,2,-0.01963669
218,2011,3,-0.019026697
219,2011,4,-0.02521348
220,2011,5,-0.023105145
221,2011,6,-0.019722462
222,2011,7,-0.018261373
223,2011,8,-0.021224141
224,2011,9,-0.017463148
225,2011,10,-0.019421875
226,2011,11,-0.024183393
227,2011,12,-0.025173068
228,2012,1,-0.018518269
229,2012,2,-0.008482933
230,2012,3,-0.014372349
231,2012,4,-0.019440472
232,2012,5,-0.016308784
233,2012,6,-0.017713308
234,2012,7,-0.021429658
235,2012,8,-0.025837123
236,2012,9,-0.0167647
237,2012,10,-0.011400461
238,2012,11,-0.003162086
239,2012,12,-0.003293991
240,2013,1,-0.008991897
241,2013,2,-0.009118676
242,2013,3,-0.015758872
243,2013,4,-0.01540494
244,2013,5,-0.014836848
245,2013,6,-0.017130077
246,2013,7,-0.025852263
247,2013,8,-0.019900918
248,2013,9,-0.010368645
249,2013,10,-0.011525691
250,2013,11,-0.01688373
251,2013,12,-0.0154854655
252,2014,1,-0.0040477514
253,2014,2,0.005316794
254,2014,3,0.026885629
255,2014,4,0.024372518
256,2014,5,0.017025888
257,2014,6,0.023478508
258,2014,7,0.028881133
259,2014,8,0.0356946
260,2014,9,0.03800243
261,2014,10,0.044700384
262,2014,11,0.040583134
263,2014,12,0.059675157
264,2015,1,0.06899196
265,2015,2,0.07655114
266,2015,3,0.08167833
267,2015,4,0.07354629
268,2015,5,0.06389022
269,2015,6,0.06241715
270,2015,7,0.061867952
271,2015,8,0.061895788
272,2015,9,0.06856102
273,2015,10,0.07248837
274,2015,11,0.07461989
275,2015,12,0.06900388
276,2016,1,0.064421535
277,2016,2,0.08094865
278,2016,3,0.07831442
279,2016,4,0.06666523
280,2016,5,0.05841452
281,2016,6,0.057755828
282,2016,7,0.046719253
283,2016,8,0.038527727
284,2016,9,0.036896527
285,2016,10,0.03587109
286,2016,11,0.046508312
287,2016,12,0.030663252
288,2017,1,0.018912554
289,2017,2,0.00806421
290,2017,3,0.007057905
291,2017,4,0.016285658
292,2017,5,0.01069057
293,2017,6,0.010094762
294,2017,7,0.015189946
295,2017,8,0.020417035
296,2017,9,0.013328314
297,2017,10,0.014056981
298,2017,11,0.0210917
299,2017,12,0.029293299
300,2018,1,0.025945485
301,2018,2,0.008923829
302,2018,3,0.0034829378
303,2018,4,0.017983496
304,2018,5,0.020376801
305,2018,6,0.021380842
306,2018,7,0.01566714
307,2018,8,0.02304709
308,2018,9,0.018481195
309,2018,10,0.022910953
310,2018,11,0.024405897
311,2018,12,0.02922231
312,2019,1,0.036527157
