,Year,Month,CURRENT SPEED
0,1997,1,0.0019657668
1,1997,2,0.0019175895
2,1997,3,0.0018215571
3,1997,4,0.0034912322
4,1997,5,-0.0017339196
5,1997,6,-0.0034277737
6,1997,7,-0.00060392916
7,1997,8,-0.0053981245
8,1997,9,-0.0053670276
9,1997,10,-0.01012684
10,1997,11,-0.013716854
11,1997,12,-0.0054147216
12,1998,1,-0.0028815558
13,1998,2,-0.004611057
14,1998,3,-0.005631553
15,1998,4,-0.0065350365
16,1998,5,-0.006037779
17,1998,6,-0.0035043452
18,1998,7,-0.0013549998
19,1998,8,-0.0009874571
20,1998,9,0.0015024599
21,1998,10,0.008718355
22,1998,11,0.0065134373
23,1998,12,0.0066904705
24,1999,1,0.008166641
25,1999,2,0.0017268322
26,1999,3,-0.0015093125
27,1999,4,-0.0010499004
28,1999,5,0.0017391965
29,1999,6,0.00093216076
30,1999,7,-0.0006745048
31,1999,8,-0.0017129108
32,1999,9,-8.0130994e-05
33,1999,10,0.00043805875
34,1999,11,-0.001947498
35,1999,12,0.0018558111
36,2000,1,0.0021039285
37,2000,2,-0.0037418697
38,2000,3,-0.0020887926
39,2000,4,-0.0038496107
40,2000,5,-0.0065495055
41,2000,6,-0.008973386
42,2000,7,-0.007457789
43,2000,8,-0.0020206235
44,2000,9,-0.0017618593
45,2000,10,-3.7252903e-07
46,2000,11,0.0022436138
47,2000,12,0.0022082645
48,2001,1,0.0015495643
49,2001,2,0.00026432425
50,2001,3,-0.0007808674
51,2001,4,-0.00013510883
52,2001,5,-0.0025548786
53,2001,6,0.00043590367
54,2001,7,-0.0011237636
55,2001,8,-0.0012355372
56,2001,9,0.0018622801
57,2001,10,5.353242e-05
58,2001,11,-0.0018212479
59,2001,12,-0.0017562807
60,2002,1,-0.0018405393
61,2002,2,-2.870895e-05
62,2002,3,0.0029018112
63,2002,4,0.008928658
64,2002,5,0.00884719
65,2002,6,0.010730475
66,2002,7,0.005642729
67,2002,8,0.0032584444
68,2002,9,0.001251962
69,2002,10,0.0057034474
70,2002,11,-0.0013832822
71,2002,12,-0.005400423
72,2003,1,-0.0021909801
73,2003,2,0.0023649242
74,2003,3,0.008160336
75,2003,4,0.0037700217
76,2003,5,0.0060015824
77,2003,6,0.008151013
78,2003,7,0.007992515
79,2003,8,0.00043722242
80,2003,9,0.0013049338
81,2003,10,-0.0018600523
82,2003,11,0.0011244696
83,2003,12,-0.0013083331
84,2004,1,-0.0032741223
85,2004,2,-0.0014217887
86,2004,3,6.763823e-05
87,2004,4,0.001923101
88,2004,5,-0.0011353437
89,2004,6,0.0028402526
90,2004,7,0.003333211
91,2004,8,0.002952313
92,2004,9,-0.0050270837
93,2004,10,0.0031370763
94,2004,11,0.0015652217
95,2004,12,0.0015140586
96,2005,1,-0.005456566
97,2005,2,-0.0055005113
98,2005,3,-0.004193777
99,2005,4,-0.004763609
100,2005,5,-0.0046089813
101,2005,6,-0.00040485524
102,2005,7,-0.00014305115
103,2005,8,0.00086875074
104,2005,9,0.0041369386
105,2005,10,0.000898296
106,2005,11,0.000918854
107,2005,12,0.0032293946
108,2006,1,0.0025618803
109,2006,2,0.000397956
110,2006,3,-0.00074308366
111,2006,4,-0.0012584552
112,2006,5,-0.0028868187
113,2006,6,-0.005804632
114,2006,7,-0.0046711154
115,2006,8,-0.0055538453
116,2006,9,-0.0044243466
117,2006,10,-0.0033995807
118,2006,11,0.00058656745
119,2006,12,0.0019774847
120,2007,1,-3.4922734e-05
121,2007,2,0.004279772
122,2007,3,0.0063098706
123,2007,4,0.0028196946
124,2007,5,0.00354
125,2007,6,0.0032160021
126,2007,7,0.0022255573
127,2007,8,0.0038820803
128,2007,9,0.008921538
129,2007,10,0.007597374
130,2007,11,0.008019006
131,2007,12,0.007131612
132,2008,1,0.0061856937
133,2008,2,0.0030708574
134,2008,3,0.003684707
135,2008,4,0.004231477
136,2008,5,0.0043106787
137,2008,6,-0.0019539185
138,2008,7,-0.0007773824
139,2008,8,-0.0010214932
140,2008,9,0.0005673431
141,2008,10,-0.0021150447
142,2008,11,-0.0007059816
143,2008,12,0.004070459
144,2009,1,0.0062615704
145,2009,2,0.003037082
146,2009,3,-0.00066332705
147,2009,4,0.0034546498
148,2009,5,0.0037581325
149,2009,6,-0.00236121
150,2009,7,0.0023760945
151,2009,8,-0.00085124746
152,2009,9,-0.0007689111
153,2009,10,-0.0037721433
154,2009,11,0.0034583136
155,2009,12,-0.0023364723
156,2010,1,-0.006106032
157,2010,2,-0.0018800516
158,2010,3,0.00028113276
159,2010,4,-0.004150262
160,2010,5,0.0031641908
161,2010,6,0.003587585
162,2010,7,0.0059272554
163,2010,8,0.005023498
164,2010,9,0.007840317
165,2010,10,0.009798022
166,2010,11,0.008814251
167,2010,12,0.001354266
168,2011,1,0.0037279278
169,2011,2,0.0013725199
170,2011,3,-0.00027453154
171,2011,4,-0.0034310352
172,2011,5,-0.0070789214
173,2011,6,-0.0032455102
174,2011,7,-0.0062231645
175,2011,8,-0.0022540297
