,Year,Month,CURRENT V
0,1997,1,-0.004265433
1,1997,2,-0.0031634495
2,1997,3,-0.0025405353
3,1997,4,-0.0028103497
4,1997,5,0.0025528762
5,1997,6,0.005737163
6,1997,7,0.0025352146
7,1997,8,0.009493667
8,1997,9,0.010456129
9,1997,10,0.0125997905
10,1997,11,0.0165113
11,1997,12,0.01919281
12,1998,1,0.017578226
13,1998,2,0.016185112
14,1998,3,0.007327622
15,1998,4,0.007420472
16,1998,5,0.00671349
17,1998,6,0.0044887336
18,1998,7,0.003213372
19,1998,8,0.0019299556
20,1998,9,-0.0006342139
21,1998,10,-0.009339288
22,1998,11,-0.007550344
23,1998,12,-0.00787316
24,1999,1,-0.005919189
25,1999,2,0.00036441162
26,1999,3,0.0013641324
27,1999,4,0.0025119
28,1999,5,0.00025862642
29,1999,6,-3.4928322e-05
30,1999,7,0.0023336653
31,1999,8,0.0036387872
32,1999,9,0.0021936279
33,1999,10,0.0020550098
34,1999,11,0.0030377218
35,1999,12,-0.00075865444
36,2000,1,0.0025039888
37,2000,2,0.009062822
38,2000,3,0.0038868934
39,2000,4,0.0038641132
40,2000,5,0.007048142
41,2000,6,0.009619772
42,2000,7,0.009395777
43,2000,8,0.0038110316
44,2000,9,0.00028212368
45,2000,10,0.0012487546
46,2000,11,0.001022663
47,2000,12,-0.00084379595
48,2001,1,-0.0034614922
49,2001,2,-0.0023936583
50,2001,3,-0.00013326295
51,2001,4,-0.0011662208
52,2001,5,0.0009706672
53,2001,6,0.00014235638
54,2001,7,0.0013252608
55,2001,8,0.0013240166
56,2001,9,-0.0032316577
57,2001,10,-0.0010804404
58,2001,11,0.0017794259
59,2001,12,0.00082661025
60,2002,1,0.0011819857
61,2002,2,-0.0016727578
62,2002,3,-0.005143064
63,2002,4,-0.010670099
64,2002,5,-0.008157536
65,2002,6,-0.009521179
66,2002,7,-0.004464358
67,2002,8,-0.004339842
68,2002,9,-0.0030138232
69,2002,10,-0.0070767626
70,2002,11,-0.0007985942
71,2002,12,0.0034548985
72,2003,1,0.002879439
73,2003,2,-0.0033031395
74,2003,3,-0.0075876443
75,2003,4,-0.004900841
76,2003,5,-0.005801711
77,2003,6,-0.008045364
78,2003,7,-0.006570898
79,2003,8,0.0012583844
80,2003,9,-0.0016155187
81,2003,10,0.00083820336
82,2003,11,-0.0015491843
83,2003,12,0.0015094271
84,2004,1,0.0020442307
85,2004,2,0.0011618864
86,2004,3,0.0035949843
87,2004,4,-0.0017250702
88,2004,5,-0.0010843556
89,2004,6,-0.0048893336
90,2004,7,-0.0036741905
91,2004,8,-0.0033360738
92,2004,9,0.0047713183
93,2004,10,-0.0028076172
94,2004,11,-0.0013162177
95,2004,12,-0.0025709039
96,2005,1,0.005574369
97,2005,2,0.0065232757
98,2005,3,0.0073849503
