,Year,Month,SLA
0,1993,1,-0.015315196
1,1993,2,-0.0031480752
2,1993,3,0.017844677
3,1993,4,0.025357543
4,1993,5,0.020622885
5,1993,6,0.023547977
6,1993,7,0.021412395
7,1993,8,0.02187606
8,1993,9,-0.00074277073
9,1993,10,0.0051350817
10,1993,11,-8.858368e-05
11,1993,12,0.008067809
12,1994,1,0.0077175424
13,1994,2,-0.00019434653
14,1994,3,0.0032515042
15,1994,4,0.0041574324
16,1994,5,0.0006198045
17,1994,6,-0.00020576268
18,1994,7,-0.0012210049
19,1994,8,3.125146e-05
20,1994,9,0.0062550902
21,1994,10,0.0012347326
22,1994,11,-0.019433875
23,1994,12,-0.024737187
24,1995,1,-0.009551505
25,1995,2,0.0028705876
26,1995,3,-0.0056271097
27,1995,4,-0.010226734
28,1995,5,-0.011415156
29,1995,6,-0.006130278
30,1995,7,-0.016135808
31,1995,8,-0.022606477
32,1995,9,-0.005473517
33,1995,10,-0.0074977353
34,1995,11,-0.0057589225
35,1995,12,-0.012649257
36,1996,1,-0.016256887
37,1996,2,-0.008483628
38,1996,3,-0.017814588
39,1996,4,-0.0039194613
40,1996,5,0.0009808596
41,1996,6,-0.0021316074
42,1996,7,-0.009427529
43,1996,8,-0.009647466
44,1996,9,-0.0042879432
45,1996,10,-0.0071864463
46,1996,11,-0.026302354
47,1996,12,-0.02346782
48,1997,1,-0.01434917
49,1997,2,-0.0050486615
50,1997,3,-0.014940591
51,1997,4,-0.0067870934
52,1997,5,0.01462565
53,1997,6,0.013501473
54,1997,7,0.01372686
55,1997,8,0.020442754
56,1997,9,0.041747518
57,1997,10,0.040396243
58,1997,11,0.025797263
59,1997,12,0.025784105
60,1998,1,0.033765078
61,1998,2,0.03853159
62,1998,3,0.032548144
63,1998,4,0.02591745
64,1998,5,0.025253674
65,1998,6,0.015932385
66,1998,7,0.015134122
67,1998,8,0.017654434
68,1998,9,0.0075895786
69,1998,10,0.0040417686
70,1998,11,-0.002586618
71,1998,12,-0.019937022
72,1999,1,-0.026627734
73,1999,2,-0.034370273
74,1999,3,-0.03432472
75,1999,4,-0.040646844
76,1999,5,-0.05002731
77,1999,6,-0.047650397
78,1999,7,-0.054293334
79,1999,8,-0.050363805
80,1999,9,-0.052832
81,1999,10,-0.049971826
82,1999,11,-0.042579476
83,1999,12,-0.0351941
84,2000,1,-0.046748295
85,2000,2,-0.04308149
86,2000,3,-0.032795772
87,2000,4,-0.03579881
88,2000,5,-0.040394712
89,2000,6,-0.03280006
90,2000,7,-0.026440721
91,2000,8,-0.025056526
92,2000,9,-0.022451818
93,2000,10,-0.027517863
94,2000,11,-0.035806105
95,2000,12,-0.037221182
96,2001,1,-0.036902122
97,2001,2,-0.054279376
98,2001,3,-0.047967467
99,2001,4,-0.052453406
100,2001,5,-0.04111184
101,2001,6,-0.037300523
102,2001,7,-0.032396458
103,2001,8,-0.031351015
104,2001,9,-0.029560454
105,2001,10,-0.031947836
106,2001,11,-0.02023169
107,2001,12,-0.025489671
108,2002,1,-0.023216832
109,2002,2,-0.018297333
110,2002,3,-0.022234872
111,2002,4,-0.025359279
112,2002,5,-0.011036759
113,2002,6,-0.010858081
114,2002,7,-0.0038135536
115,2002,8,-0.0061356016
116,2002,9,-0.013938542
117,2002,10,-0.016195778
118,2002,11,0.015067548
119,2002,12,0.011197351
120,2003,1,0.018436275
121,2003,2,0.017444082
122,2003,3,0.010593914
123,2003,4,0.005845637
124,2003,5,0.0070424937
125,2003,6,0.009536713
126,2003,7,0.014092501
127,2003,8,0.015192516
128,2003,9,0.011618391
129,2003,10,0.01801651
130,2003,11,0.005401872
131,2003,12,0.0060220584
132,2004,1,0.01173193
133,2004,2,0.018344603
134,2004,3,0.015098051
135,2004,4,0.018169925
136,2004,5,0.025649754
137,2004,6,0.018906727
138,2004,7,0.009880673
139,2004,8,0.012750663
140,2004,9,0.0069358274
141,2004,10,0.0023947433
142,2004,11,-0.009956736
143,2004,12,-0.009974249
144,2005,1,-0.012853518
145,2005,2,0.0004053004
146,2005,3,0.0039756307
147,2005,4,0.0037590023
148,2005,5,0.004990168
149,2005,6,0.003655022
150,2005,7,0.004144907
151,2005,8,0.005435124
152,2005,9,-0.0006807223
153,2005,10,-0.0018343702
154,2005,11,-0.0006204583
155,2005,12,0.010799173
156,2006,1,0.010160398
157,2006,2,-0.0004089754
158,2006,3,-0.017288078
159,2006,4,-0.016395673
160,2006,5,-0.02200973
161,2006,6,-0.015371359
162,2006,7,-0.001711458
163,2006,8,-0.011002228
164,2006,9,-0.014580492
165,2006,10,-0.020455346
166,2006,11,-0.010778725
167,2006,12,-0.0024016611
168,2007,1,-0.0057785027
169,2007,2,-0.013176255
170,2007,3,-0.011951059
171,2007,4,-0.0071368786
172,2007,5,-0.0063503603
173,2007,6,-0.013763946
174,2007,7,-0.005893655
175,2007,8,-0.013440963
176,2007,9,-0.015991393
177,2007,10,-0.029389419
178,2007,11,-0.01819839
179,2007,12,-0.022989526
180,2008,1,-0.029018207
181,2008,2,-0.032211486
182,2008,3,-0.028816067
183,2008,4,-0.028868567
184,2008,5,-0.025898732
185,2008,6,-0.027622936
186,2008,7,-0.020416813
187,2008,8,-0.015604444
188,2008,9,-0.02453819
189,2008,10,-0.019649081
190,2008,11,-0.009266689
191,2008,12,-0.011205357
192,2009,1,-0.023109835
193,2009,2,-0.027712144
194,2009,3,-0.018324772
195,2009,4,-0.0167443
196,2009,5,-0.015184188
197,2009,6,-0.011390865
198,2009,7,-0.0075530782
199,2009,8,-0.00247908
200,2009,9,0.0022683144
201,2009,10,-0.0019336641
202,2009,11,0.001562152
203,2009,12,0.00716991
204,2010,1,0.011558849
205,2010,2,0.020396087
206,2010,3,0.01937288
207,2010,4,0.01941651
208,2010,5,0.0060403775
209,2010,6,0.002558045
210,2010,7,-0.000107489526
211,2010,8,-0.01378382
212,2010,9,-0.02125926
213,2010,10,-0.007324096
214,2010,11,-0.0100959875
215,2010,12,-0.02057142
216,2011,1,-0.017698754
217,2011,2,-0.019778911
218,2011,3,-0.019723322
219,2011,4,-0.02537961
220,2011,5,-0.02367675
221,2011,6,-0.020610008
222,2011,7,-0.0193739
223,2011,8,-0.021733101
224,2011,9,-0.017814197
225,2011,10,-0.020625118
226,2011,11,-0.024274819
227,2011,12,-0.027303418
228,2012,1,-0.018330442
229,2012,2,-0.008855509
230,2012,3,-0.015044353
231,2012,4,-0.018957231
232,2012,5,-0.01574894
233,2012,6,-0.018130533
234,2012,7,-0.021579826
235,2012,8,-0.027377095
236,2012,9,-0.017307516
237,2012,10,-0.010383654
238,2012,11,-0.0033499673
239,2012,12,-0.0035051592
240,2013,1,-0.009366266
241,2013,2,-0.009811607
242,2013,3,-0.014537683
243,2013,4,-0.014993517
244,2013,5,-0.01679786
245,2013,6,-0.017435707
246,2013,7,-0.026669877
247,2013,8,-0.021813624
248,2013,9,-0.010520585
249,2013,10,-0.012018949
250,2013,11,-0.017503444
251,2013,12,-0.016554032
252,2014,1,-0.0054748505
253,2014,2,0.0035445448
254,2014,3,0.026326124
255,2014,4,0.024764715
256,2014,5,0.018008579
257,2014,6,0.022444662
258,2014,7,0.029082566
259,2014,8,0.036193676
260,2014,9,0.037705123
261,2014,10,0.04398989
262,2014,11,0.041478187
263,2014,12,0.061365098
264,2015,1,0.069104426
265,2015,2,0.07728802
266,2015,3,0.08146744
267,2015,4,0.07379733
268,2015,5,0.06473736
269,2015,6,0.06306331
270,2015,7,0.06297195
271,2015,8,0.06166956
272,2015,9,0.069619104
273,2015,10,0.07378477
274,2015,11,0.0747266
275,2015,12,0.07088625
276,2016,1,0.0647997
277,2016,2,0.08261032
278,2016,3,0.07952272
279,2016,4,0.06808271
280,2016,5,0.05904621
281,2016,6,0.057921503
282,2016,7,0.046270706
283,2016,8,0.03831566
284,2016,9,0.036861032
285,2016,10,0.03705337
286,2016,11,0.048083715
287,2016,12,0.031400703
288,2017,1,0.018785018
289,2017,2,0.008618059
290,2017,3,0.007489129
291,2017,4,0.016338054
292,2017,5,0.01075132
293,2017,6,0.009167451
294,2017,7,0.015101522
295,2017,8,0.020417348
296,2017,9,0.013728708
297,2017,10,0.014228612
298,2017,11,0.020135082
299,2017,12,0.030726403
300,2018,1,0.026587345
301,2018,2,0.008804917
302,2018,3,0.003900242
303,2018,4,0.018061066
304,2018,5,0.021283215
305,2018,6,0.021166727
306,2018,7,0.015216358
307,2018,8,0.022416085
308,2018,9,0.017650567
309,2018,10,0.023655616
310,2018,11,0.024580345
311,2018,12,0.029782213
312,2019,1,0.037951574
