,Year,Month,SST
0,1981,12,-0.11214352
1,1982,1,-0.36221313
2,1982,2,-0.25915623
3,1982,3,-0.33413696
4,1982,4,-0.49260712
5,1982,5,-0.70868206
6,1982,6,-0.7629633
7,1982,7,-0.5476904
8,1982,8,-0.55914116
9,1982,9,-0.081609726
10,1982,10,-0.15271378
11,1982,11,-0.07129383
12,1982,12,0.06879139
13,1983,1,0.36812687
14,1983,2,0.49277306
15,1983,3,0.66096115
16,1983,4,0.32464314
17,1983,5,0.15899563
18,1983,6,0.19787121
19,1983,7,0.005887985
20,1983,8,0.4952736
21,1983,9,0.39365005
22,1983,10,0.47955894
23,1983,11,0.5757246
24,1983,12,0.19903469
25,1984,1,0.46564388
26,1984,2,0.5182667
27,1984,3,0.38797092
28,1984,4,-0.08789539
29,1984,5,-0.22881985
30,1984,6,-0.62986374
31,1984,7,-0.5063667
32,1984,8,-0.07001686
33,1984,9,0.15712166
34,1984,10,-0.2193718
35,1984,11,-0.5162506
36,1984,12,-0.48362255
37,1985,1,-0.37598324
38,1985,2,-0.57718086
39,1985,3,-0.73757267
40,1985,4,-0.5208111
41,1985,5,-0.51999474
42,1985,6,-0.1927023
43,1985,7,0.08699417
44,1985,8,-0.13463211
45,1985,9,-0.35759735
46,1985,10,-0.35907745
47,1985,11,-0.9957485
48,1985,12,-0.74981785
49,1986,1,-0.012742043
50,1986,2,0.26024246
51,1986,3,0.6234827
52,1986,4,0.08107376
53,1986,5,-0.12946701
54,1986,6,0.4102583
55,1986,7,-0.16754723
56,1986,8,-0.5663967
57,1986,9,-0.38540268
58,1986,10,-0.32250977
59,1986,11,0.12778854
60,1986,12,0.4315529
61,1987,1,0.41945934
62,1987,2,0.33202648
63,1987,3,0.1759634
64,1987,4,0.26320744
65,1987,5,0.26552105
66,1987,6,-0.37852764
67,1987,7,-0.44886875
68,1987,8,-0.7450657
69,1987,9,-0.56103325
70,1987,10,0.078027725
71,1987,11,0.47929
72,1987,12,0.09271145
73,1988,1,-0.47511673
74,1988,2,-0.310874
75,1988,3,-0.18076897
76,1988,4,-0.13379478
77,1988,5,-0.33323765
78,1988,6,-0.38631535
79,1988,7,-0.20602226
80,1988,8,-0.5879612
81,1988,9,-1.0618572
82,1988,10,-0.42915916
83,1988,11,-0.33108807
84,1988,12,-0.3879814
85,1989,1,-0.90241814
86,1989,2,-1.261653
87,1989,3,-0.76410675
88,1989,4,0.19128704
89,1989,5,0.33013248
90,1989,6,-0.0830698
91,1989,7,-0.044160843
92,1989,8,-0.17079735
93,1989,9,-0.307333
94,1989,10,-0.037534714
95,1989,11,0.14128399
96,1989,12,0.6236954
97,1990,1,0.24097061
98,1990,2,-0.59004307
99,1990,3,-0.43615913
100,1990,4,0.26822948
101,1990,5,-0.07046127
102,1990,6,0.06535816
103,1990,7,0.3581276
104,1990,8,0.64764404
105,1990,9,1.0193195
106,1990,10,0.39677048
107,1990,11,0.12108803
108,1990,12,-0.3401928
109,1991,1,-0.58456707
110,1991,2,-0.1767273
111,1991,3,-0.3776703
112,1991,4,-0.54854965
113,1991,5,-0.91558456
114,1991,6,-1.0602093
115,1991,7,-0.84138584
