,Year,Month,WIND U
0,1997,1,-1.4336354
1,1997,2,-1.7228458
2,1997,3,-2.2014892
3,1997,4,-2.4076233
4,1997,5,-2.3680775
5,1997,6,-2.1931276
6,1997,7,-0.037840605
7,1997,8,-0.27115917
8,1997,9,-0.05349028
9,1997,10,0.67812014
10,1997,11,-0.17018986
11,1997,12,-0.6531966
12,1998,1,1.1296455
13,1998,2,1.6918774
14,1998,3,0.2894702
15,1998,4,0.3711753
16,1998,5,0.22880721
17,1998,6,0.3624022
18,1998,7,0.40064275
19,1998,8,-0.03669715
20,1998,9,0.1453811
21,1998,10,0.494133
22,1998,11,1.304073
23,1998,12,0.9325348
24,1999,1,1.0167166
25,1999,2,1.5762227
26,1999,3,0.9429867
27,1999,4,0.8324573
28,1999,5,0.8018079
29,1999,6,0.38833427
30,1999,7,0.4724759
31,1999,8,0.6119479
32,1999,9,-0.3464439
33,1999,10,-0.5342895
34,1999,11,-0.20057857
35,1999,12,-0.3270452
36,2000,1,0.1973908
37,2000,2,-0.34181988
38,2000,3,0.07971883
39,2000,4,-0.56447613
40,2000,5,0.12029052
41,2000,6,-0.4337877
42,2000,7,0.4165157
43,2000,8,-0.030055165
44,2000,9,-0.09472251
45,2000,10,0.6208103
46,2000,11,-0.10715592
47,2000,12,-1.0816307
48,2001,1,0.36074018
49,2001,2,0.111016154
50,2001,3,-0.15223074
51,2001,4,0.44210148
52,2001,5,-0.7363093
53,2001,6,-0.40517652
54,2001,7,0.051100254
55,2001,8,-2.9563904e-05
56,2001,9,-0.3710922
57,2001,10,-0.03261614
58,2001,11,0.023584485
59,2001,12,0.60730255
60,2002,1,0.55284274
61,2002,2,-0.64975417
62,2002,3,-0.12626123
63,2002,4,-0.4615383
64,2002,5,-0.23912549
65,2002,6,-0.16474962
66,2002,7,-0.4108945
67,2002,8,-0.2633953
68,2002,9,-0.34650087
69,2002,10,-0.56612635
70,2002,11,-1.0167408
71,2002,12,0.6803793
72,2003,1,-1.2962201
73,2003,2,-0.550635
74,2003,3,0.83175063
75,2003,4,1.0677645
76,2003,5,-0.13333225
77,2003,6,-0.03736496
78,2003,7,-0.1529715
79,2003,8,-0.081089735
80,2003,9,-0.16497791
81,2003,10,0.21455288
82,2003,11,-0.04676044
83,2003,12,0.31107056
84,2004,1,0.14920628
85,2004,2,-0.011162758
86,2004,3,0.055729866
87,2004,4,-0.3548813
88,2004,5,0.17028594
89,2004,6,0.33857274
90,2004,7,0.13619077
91,2004,8,0.39810073
92,2004,9,0.15959513
93,2004,10,0.62292933
94,2004,11,-0.22009337
95,2004,12,-0.18738914
96,2005,1,-0.24205649
97,2005,2,-1.1042545
98,2005,3,0.1503501
