,Year,Month,Wind_U,Wind_V
0,1997,1,-1.4336354,0.39689237
1,1997,2,-1.7228458,1.165409
2,1997,3,-2.2014892,1.1958958
3,1997,4,-2.4076233,2.78201
4,1997,5,-2.3680775,3.7073493
5,1997,6,-2.1931276,4.1152067
6,1997,7,-0.037840605,0.3612461
7,1997,8,-0.27115917,1.276407
8,1997,9,-0.05349028,1.3257387
9,1997,10,0.67812014,-0.2968607
10,1997,11,-0.17018986,1.6968338
11,1997,12,-0.6531966,0.46733117
12,1998,1,1.1296455,2.2339766
13,1998,2,1.6918774,3.1072383
14,1998,3,0.2894702,-0.5254091
15,1998,4,0.3711753,-0.56267786
16,1998,5,0.22880721,0.83069277
17,1998,6,0.3624022,-1.4258637
18,1998,7,0.40064275,0.21000147
19,1998,8,-0.03669715,-0.59564114
20,1998,9,0.1453811,-0.08423519
21,1998,10,0.494133,0.034279108
22,1998,11,1.304073,0.5939376
23,1998,12,0.9325348,-1.365076
24,1999,1,1.0167166,-1.1516886
25,1999,2,1.5762227,1.5935318
26,1999,3,0.9429867,0.2819891
27,1999,4,0.8324573,-2.0978394
28,1999,5,0.8018079,-0.9480667
29,1999,6,0.38833427,0.48244858
30,1999,7,0.4724759,-0.00856638
31,1999,8,0.6119479,0.79068327
32,1999,9,-0.3464439,-0.23973846
33,1999,10,-0.5342895,0.23819232
34,1999,11,-0.20057857,2.2218819
35,1999,12,-0.3270452,-0.9264833
36,2000,1,0.1973908,0.083716094
37,2000,2,-0.34181988,2.5029097
38,2000,3,0.07971883,-1.004968
39,2000,4,-0.56447613,1.2879242
40,2000,5,0.12029052,0.935534
41,2000,6,-0.4337877,0.30962038
42,2000,7,0.4165157,0.18695974
43,2000,8,-0.030055165,-0.08827257
44,2000,9,-0.09472251,0.83506536
45,2000,10,0.6208103,0.04557538
46,2000,11,-0.10715592,-0.95956266
47,2000,12,-1.0816307,0.79094106
48,2001,1,0.36074018,0.006643325
49,2001,2,0.111016154,-0.73009205
50,2001,3,-0.15223074,-1.1769074
51,2001,4,0.44210148,-0.08031511
52,2001,5,-0.7363093,0.60300493
53,2001,6,-0.40517652,0.83576703
54,2001,7,0.051100254,-0.08853245
55,2001,8,-2.9563904e-05,1.8186867
56,2001,9,-0.3710922,1.223619
57,2001,10,-0.03261614,0.11977863
58,2001,11,0.023584485,1.7415102
59,2001,12,0.60730255,0.8521027
